U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,
0.0016246,0.070009,0,1,0,0,0.5,0.1,0.070027847
0.0018209,0.075383,0,1,0.001,0.001,0.5,0.1,0.075404989
0.0020172,0.080758,0,1,0.002,0.002,0.5,0.1,0.080783189
0.0022136,0.086133,0,1,0.003,0.003,0.5,0.1,0.08616144
0.0024099,0.091508,0,1,0.004,0.004,0.5,0.1,0.091539727
0.0026062,0.096883,0,1,0.005,0.005,0.5,0.1,0.096918048
0.0028025,0.10226,0,1,0.006,0.006,0.5,0.1,0.102298395
0.0029988,0.10763,0,1,0.007,0.007,0.5,0.1,0.107671768
0.0031951,0.11301,0,1,0.008,0.008,0.5,0.1,0.113055158
0.0033914,0.11838,0,1,0.009,0.009,0.5,0.1,0.118428569
0.0035877,0.12376,0,1,0.01,0.01,0.5,0.1,0.123811991
0.0039128,0.13258,0,1,0.011,0.011,0.5,0.1,0.132637726
0.0042379,0.14141,0,1,0.012,0.012,0.5,0.1,0.141473488
0.004563,0.15023,0,1,0.013,0.013,0.5,0.1,0.150299281
0.0048881,0.15905,0,1,0.014,0.014,0.5,0.1,0.159125096
0.0052131,0.16788,0,1,0.015,0.015,0.5,0.1,0.16796092
0.0055382,0.1767,0,1,0.016,0.016,0.5,0.1,0.176786769
0.0058633,0.18553,0,1,0.017,0.017,0.5,0.1,0.185622626
0.0061884,0.19435,0,1,0.018,0.018,0.5,0.1,0.194448499
0.0065135,0.20317,0,1,0.019,0.019,0.5,0.1,0.203274383
0.0068386,0.212,0,1,0.02,0.02,0.5,0.1,0.21211027
0.0069883,0.21768,0,1,0.021,0.021,0.5,0.1,0.217792146
0.007138,0.22336,0,1,0.022,0.022,0.5,0.1,0.223474027
0.0072877,0.22903,0,1,0.023,0.023,0.5,0.1,0.229145917
0.0074374,0.23471,0,1,0.024,0.024,0.5,0.1,0.234827807
0.0075871,0.24039,0,1,0.025,0.025,0.5,0.1,0.240509701
0.0077368,0.24607,0,1,0.026,0.026,0.5,0.1,0.246191598
0.0078865,0.25175,0,1,0.027,0.027,0.5,0.1,0.251873499
0.0080362,0.25743,0,1,0.028,0.028,0.5,0.1,0.257555403
0.008186,0.26311,0,1,0.029,0.029,0.5,0.1,0.263237313
0.0083357,0.26878,0,1,0.03,0.03,0.5,0.1,0.268909227
0.0083343,0.27265,0,1,0.031,0.031,0.5,0.1,0.272777351
0.0083329,0.27652,0,1,0.032,0.032,0.5,0.1,0.276645527
0.0083315,0.28039,0,1,0.033,0.033,0.5,0.1,0.280513754
0.0083301,0.28425,0,1,0.034,0.034,0.5,0.1,0.284372033
0.0083287,0.28812,0,1,0.035,0.035,0.5,0.1,0.288240354
0.0083273,0.29199,0,1,0.036,0.036,0.5,0.1,0.29210872
0.008326,0.29585,0,1,0.037,0.037,0.5,0.1,0.295967135
0.0083246,0.29972,0,1,0.038,0.038,0.5,0.1,0.299835584
0.0083232,0.30359,0,1,0.039,0.039,0.5,0.1,0.303704073
0.0083218,0.30746,0,1,0.04,0.04,0.5,0.1,0.307572599
0.0082669,0.31035,0,1,0.041,0.041,0.5,0.1,0.310460085
0.0082121,0.31325,0,1,0.042,0.042,0.5,0.1,0.313357625
0.0081572,0.31614,0,1,0.043,0.043,0.5,0.1,0.316245221
0.0081024,0.31904,0,1,0.044,0.044,0.5,0.1,0.319142868
0.0080475,0.32193,0,1,0.045,0.045,0.5,0.1,0.322030569
0.0079926,0.32483,0,1,0.046,0.046,0.5,0.1,0.324928316
0.0079378,0.32772,0,1,0.047,0.047,0.5,0.1,0.327816118
0.0078829,0.33062,0,1,0.048,0.048,0.5,0.1,0.330713962
0.007828,0.33351,0,1,0.049,0.049,0.5,0.1,0.333601855
0.0077732,0.33641,0,1,0.05,0.05,0.5,0.1,0.336499793
0.0077023,0.33853,0,1,0.051,0.051,0.5,0.1,0.338617611
0.0076314,0.34066,0,1,0.052,0.052,0.5,0.1,0.340745468
