"Fb_set
[kN]","v_set
[km/h]",μ_m,"Ta_max
[°C]","Energy
[kJ]"
23.0,50,0.408,67,512
23.0,80,0.383,101,1350
23.0,120,0.374,157,3072
23.0,160,0.376,209,5486
23.0,200,0.381,260,8599
23.0,250,0.383,348,13486
14.0,120,0.379,131,3101
14.0,160,0.402,178,5520
14.0,200,0.416,232,8638
14.0,250,0.426,319,13535
32.0,120,0.362,150,3054
32.0,160,0.367,216,5458
32.0,200,0.372,267,8563
32.0,250,0.364,355,13440
32.0,120,0.365,150,3052
32.0,160,0.371,217,5455
32.0,200,0.372,265,8560
32.0,250,0.367,352,13432
23.0,50,0.397,75,520
23.0,80,0.379,98,1349
23.0,120,0.380,139,3074
23.0,160,0.387,189,5489
23.0,200,0.396,251,8601
23.0,250,0.392,335,13485
14.0,120,0.383,128,3100
