0,1,2,3,4,5,6,7,8
盘1,盘2,盘3,盘4,盘5,盘6,片1,片2,片3
50.691,50.264,48.738,48.952,47.975,48.067,50.307,51.388,51.525
50.691,50.264,48.677,48.921,47.945,48.067,50.307,51.388,51.525
50.783,50.356,48.799,49.013,47.975,48.128,50.307,51.388,51.525
50.874,50.447,48.769,48.982,47.914,48.036,50.307,51.388,51.525
50.783,50.356,48.769,48.952,47.853,47.975,50.307,51.388,51.525
50.813,50.325,48.769,48.982,47.914,48.036,50.307,51.388,51.525
50.752,50.325,48.738,48.982,48.067,48.128,50.307,51.388,51.525
50.905,50.478,48.799,49.043,47.914,48.006,50.307,51.388,51.525
50.752,50.356,48.769,48.982,47.914,48.036,50.307,51.388,51.525
50.844,50.447,48.799,48.982,47.975,48.097,50.307,51.388,51.525
50.752,50.356,48.799,48.982,47.884,48.036,50.307,51.362,51.512
50.783,50.417,48.799,49.043,47.884,48.006,50.307,51.362,51.512
50.783,50.356,48.769,49.013,48.006,48.097,50.307,51.362,51.512
50.722,50.325,48.799,48.982,47.914,48.036,50.307,51.362,51.512
50.874,50.478,48.891,49.043,48.006,48.067,50.307,51.362,51.512
50.752,50.356,48.799,49.013,47.945,48.097,50.307,51.362,51.512
50.966,50.478,48.891,49.074,47.884,48.036,50.307,51.362,51.512
50.874,50.447,48.83,49.043,47.914,48.036,50.307,51.362,51.512
50.783,50.417,48.83,49.013,47.914,48.036,50.307,51.362,51.512
50.722,50.295,48.769,49.013,47.945,48.067,50.307,51.362,51.512
50.783,50.356,48.799,49.013,47.914,48.097,50.307,51.362,51.512
50.996,50.539,48.86,49.013,47.975,48.128,50.307,51.362,51.512
50.722,50.356,48.769,48.982,47.914,48.067,50.307,51.362,51.512
50.813,50.386,48.891,49.043,48.006,48.128,50.307,51.362,51.512
50.752,50.386,48.83,49.043,48.006,48.128,50.307,51.362,51.512
50.783,50.417,48.83,49.013,47.945,48.097,50.307,51.362,51.512
50.691,50.356,48.799,48.982,47.914,48.036,50.307,51.362,51.512
50.752,50.386,48.83,48.982,47.914,48.006,50.307,51.362,51.512
50.783,50.417,48.891,49.043,47.884,48.006,50.307,51.362,51.512
50.813,50.417,48.83,49.013,47.792,47.975,50.307,51.362,51.512
50.752,50.386,48.799,49.043,47.914,48.128,50.307,51.362,51.512
50.813,50.386,48.799,48.982,47.792,47.975,50.307,51.362,51.512
50.844,50.417,48.83,49.013,47.884,48.006,50.307,51.362,51.512
50.722,50.386,48.799,48.982,47.853,48.036,50.307,51.362,51.512
50.783,50.417,48.83,49.013,47.884,48.006,50.307,51.362,51.512
50.813,50.417,48.799,49.013,48.006,48.097,50.307,51.362,51.512
50.752,50.447,48.769,49.013,47.945,48.097,50.307,51.362,51.512
50.661,50.295,48.769,49.043,47.7,47.945,50.307,51.362,51.512
50.783,50.356,48.738,48.982,48.036,48.158,50.307,51.362,51.512
50.722,50.325,48.738,49.013,47.67,47.914,50.307,51.362,51.512
50.905,50.447,48.647,48.738,48.006,48.097,50.307,51.362,51.512
50.844,50.386,48.738,48.86,47.914,48.097,50.307,51.362,51.512
50.783,50.447,48.769,48.952,47.853,48.036,50.307,51.362,51.512
50.722,50.356,48.769,49.135,47.853,48.036,50.307,51.362,51.512
50.661,50.295,48.708,49.013,47.792,47.975,50.307,51.362,51.512
50.813,50.447,48.891,49.196,47.823,48.067,50.307,51.362,51.512
50.661,50.325,48.677,48.952,48.006,48.128,50.307,51.362,51.512
50.691,50.295,48.708,49.013,47.945,48.189,50.307,51.362,51.512
50.569,50.233,48.769,49.074,47.884,48.036,50.307,51.362,51.512
50.844,50.478,48.769,49.013,47.945,48.128,50.307,51.362,51.512
50.691,50.325,48.738,49.074,47.914,48.067,50.307,51.362,51.512
50.691,50.356,48.769,49.013,47.975,48.189,50.307,51.362,51.512
50.966,50.539,48.921,49.135,47.914,48.067,50.307,51.362,51.512
50.905,50.508,48.83,49.074,47.884,48.067,50.307,51.362,51.512
50.905,50.478,48.769,49.013,47.853,48.006,50.307,51.362,51.512
50.813,50.447,48.83,49.074,47.823,47.975,50.307,51.362,51.512
50.783,50.447,48.83,49.074,47.884,48.067,50.307,51.362,51.512
50.722,50.356,48.799,49.043,47.975,48.128,50.307,51.362,51.512
50.752,50.356,48.738,49.043,47.914,48.067,50.307,51.362,51.512
50.874,50.569,48.891,49.165,47.853,48.036,50.307,51.362,51.512
50.752,50.417,48.799,49.043,47.914,48.097,50.307,51.362,51.512
50.874,50.508,48.83,49.104,47.823,48.006,50.307,51.362,51.512
50.752,50.386,48.769,48.982,47.884,48.036,50.307,51.362,51.512
50.783,50.447,48.769,49.043,47.945,48.128,50.307,51.362,51.512
50.569,50.233,48.677,48.982,47.853,48.097,50.307,51.362,51.512
50.752,50.356,48.799,49.074,47.853,48.006,50.307,51.362,51.512
50.722,50.386,48.769,49.043,47.884,48.067,50.307,51.362,51.512
50.722,50.356,48.799,49.013,48.097,48.219,50.307,51.362,51.512
50.752,50.417,48.708,49.013,47.914,48.128,50.307,51.362,51.512
50.844,50.417,48.799,49.074,47.884,48.067,50.307,51.362,51.512
50.722,50.325,48.738,49.074,47.853,48.036,50.307,51.362,51.512
50.874,50.508,48.86,49.043,47.884,48.067,50.307,51.362,51.512
50.813,50.478,48.799,49.013,47.945,48.128,50.307,51.362,51.512
50.783,50.417,48.769,49.013,47.853,48.067,50.307,51.362,51.512
50.722,50.356,48.677,48.952,47.945,48.128,50.307,51.362,51.512
50.783,50.478,48.799,49.043,47.884,48.067,50.307,51.362,51.512
50.691,50.356,48.738,49.013,47.975,48.128,50.307,51.362,51.512
50.722,50.386,48.799,49.043,47.945,48.097,50.307,51.362,51.512
50.783,50.417,48.769,49.043,47.884,48.036,50.307,51.362,51.512
50.691,50.356,48.708,48.982,47.823,48.036,50.307,51.362,51.512
50.691,50.325,48.738,49.013,47.823,48.036,50.307,51.362,51.512
50.63,50.325,48.647,48.921,47.823,48.036,50.307,51.362,51.512
50.691,50.325,48.677,48.952,47.823,48.006,50.307,51.362,51.512
50.813,50.386,48.738,49.013,48.006,48.097,50.307,51.362,51.512
50.783,50.386,48.738,49.043,47.914,48.097,50.307,51.362,51.512
50.6,50.295,48.647,48.982,47.945,48.158,50.307,51.362,51.512
50.874,50.478,48.799,49.013,47.884,48.097,50.307,51.362,51.512
50.813,50.478,48.799,49.074,47.792,48.036,50.307,51.362,51.512
50.752,50.386,48.738,49.043,47.884,48.067,50.307,51.362,51.512
50.844,50.447,48.769,49.043,47.884,48.067,50.307,51.362,51.512
50.691,50.356,48.677,48.982,47.914,48.097,50.307,51.362,51.512
50.752,50.356,48.738,49.043,47.853,48.067,50.307,51.362,51.512
50.783,50.386,48.799,49.013,47.884,48.128,50.307,51.362,51.512
50.813,50.447,48.769,49.043,47.823,48.036,50.307,51.362,51.512
50.691,50.356,48.677,49.043,47.914,48.128,50.307,51.362,51.512
50.63,50.264,48.708,48.952,47.884,48.097,50.307,51.362,51.512
50.783,50.417,48.769,49.043,47.914,48.128,50.307,51.362,51.512
50.752,50.356,48.769,49.043,47.914,48.067,50.307,51.362,51.512
50.783,50.386,48.708,49.013,47.853,48.067,50.307,51.362,51.512
50.813,50.417,48.738,48.982,47.945,48.128,50.307,51.362,51.512
50.752,50.386,48.769,49.043,47.945,48.128,50.307,51.362,51.512
50.752,50.356,48.708,48.982,47.945,48.067,50.307,51.362,51.512
50.722,50.386,48.769,49.043,47.914,48.097,50.307,51.362,51.512
50.783,50.356,48.769,49.013,47.884,48.067,50.307,51.362,51.512
50.691,50.356,48.677,49.043,47.945,48.158,50.307,51.362,51.512
50.722,50.325,48.769,49.043,47.945,48.128,50.307,51.362,51.512
50.783,50.386,48.708,49.074,47.823,48.036,50.307,51.362,51.512
50.722,50.356,48.738,49.074,48.006,48.158,50.307,51.362,51.512
50.874,50.447,48.83,49.104,47.823,48.036,50.307,51.362,51.512
50.722,50.325,48.738,49.043,47.823,48.067,50.307,51.362,51.512
50.691,50.325,48.738,49.013,47.945,48.128,50.307,51.362,51.512
50.691,50.325,48.677,49.013,47.853,48.097,50.307,51.362,51.512
50.783,50.417,48.769,49.074,47.945,48.128,50.307,51.362,51.512
50.569,50.203,48.708,49.043,47.914,48.128,50.307,51.362,51.512
50.783,50.386,48.708,49.013,47.761,48.036,50.307,51.362,51.512
50.691,50.325,48.738,49.043,47.914,48.097,50.307,51.362,51.512
50.691,50.295,48.677,49.104,48.036,48.189,50.307,51.362,51.512
50.691,50.356,48.891,49.165,47.914,48.097,50.307,51.362,51.512
50.783,50.417,48.83,49.104,47.945,48.097,50.307,51.362,51.512
50.722,50.417,48.769,49.013,47.945,48.158,50.307,51.362,51.512
50.874,50.478,48.86,49.074,47.884,48.128,50.307,51.362,51.512
50.935,50.569,48.83,49.043,47.884,48.128,50.307,51.362,51.512
50.874,50.417,48.769,49.013,47.975,48.158,50.307,51.362,51.512
50.691,50.325,48.738,49.013,47.7,48.006,50.307,51.362,51.512
50.813,50.356,48.738,48.952,47.67,47.945,50.307,51.362,51.512
50.813,50.386,48.769,48.982,47.914,48.128,50.307,51.362,51.512
50.844,50.417,48.799,49.074,47.914,48.097,50.307,51.362,51.512
50.661,50.325,48.677,48.982,47.761,48.036,50.307,51.362,51.512
50.783,50.356,48.738,49.043,47.914,48.097,50.307,51.362,51.512
50.691,50.325,48.677,49.013,47.975,48.158,50.307,51.362,51.512
50.722,50.325,48.708,49.013,47.823,48.067,50.307,51.362,51.512
50.813,50.417,48.769,49.043,47.945,48.097,50.307,51.362,51.512
50.661,50.264,48.677,48.982,47.914,48.128,50.307,51.362,51.512
50.783,50.386,48.799,49.013,47.823,48.067,50.307,51.362,51.512
50.661,50.325,48.708,48.982,47.914,48.128,50.307,51.362,51.512
50.844,50.386,48.799,49.013,47.853,48.097,50.307,51.362,51.512
