0,1,2,3,4,5,6,7,8
盘1,盘2,盘3,盘4,盘5,盘6,片1,片2,片3
60.518,57.863,62.105,60.793,58.473,57.222,71.794,76.562,68.939
60.488,57.894,62.136,60.823,58.565,57.253,71.794,76.562,68.939
60.488,57.955,62.136,60.823,58.565,57.222,71.794,76.562,68.939
60.488,57.863,62.105,60.793,58.504,57.222,71.794,76.562,68.939
60.427,57.863,62.075,60.762,58.565,57.161,71.794,76.562,68.939
60.396,57.802,62.105,60.793,58.535,57.222,71.794,76.562,68.939
60.457,57.924,62.105,60.793,58.504,57.222,71.794,76.562,68.939
60.518,57.924,62.136,60.793,58.473,57.253,71.794,76.562,68.939
60.518,57.894,62.136,60.793,58.504,57.192,71.794,76.562,68.939
60.457,57.894,62.105,60.823,58.535,57.253,71.794,76.562,68.939
60.427,57.863,62.075,60.762,58.565,57.192,71.794,76.562,68.939
60.488,57.924,62.075,60.762,58.596,57.222,71.794,76.562,68.939
60.366,57.802,62.136,61.068,58.535,57.192,71.794,76.562,68.939
60.366,57.863,62.166,60.915,58.504,57.222,71.794,76.562,68.939
60.396,57.802,62.105,60.793,58.657,57.283,71.794,76.562,68.939
60.427,57.955,62.136,60.793,58.535,57.253,71.794,76.562,68.939
60.427,57.863,62.075,60.762,58.565,57.192,71.794,76.562,68.939
60.335,57.833,62.075,60.732,58.657,57.314,71.794,76.562,68.939
60.549,57.894,62.075,60.701,58.626,57.283,71.794,76.562,68.939
60.457,57.863,62.075,60.793,58.168,56.948,71.794,76.562,68.939
60.427,57.833,62.044,60.701,58.626,57.131,71.794,76.562,68.939
60.488,57.894,62.075,60.701,58.626,57.253,71.794,76.562,68.939
60.335,57.802,62.044,60.762,58.596,57.222,71.794,76.562,68.939
60.366,57.833,62.044,60.793,58.535,57.192,71.794,76.562,68.939
60.335,57.833,62.044,60.762,58.565,57.222,71.794,76.562,68.939
60.396,57.863,62.044,60.732,58.596,57.253,71.794,76.562,68.939
60.427,57.833,62.044,60.762,58.596,57.283,71.794,76.562,68.939
60.396,57.863,62.044,60.701,58.626,57.253,71.794,76.562,68.939
60.488,57.894,62.075,60.732,58.626,57.222,71.794,76.562,68.939
60.396,57.863,62.075,60.823,58.596,57.192,71.794,76.562,68.939
60.427,57.894,62.075,60.793,58.504,57.192,71.794,76.562,68.939
60.488,57.863,62.044,60.671,58.535,57.222,71.794,76.562,68.939
60.396,57.863,62.075,60.762,58.504,57.161,71.794,76.562,68.939
60.396,57.833,62.075,60.732,58.565,57.222,71.794,76.562,68.939
60.427,57.833,62.044,60.793,58.535,57.161,71.794,76.562,68.939
60.488,57.924,62.075,60.793,58.596,57.222,71.794,76.562,68.939
60.457,57.894,62.044,60.732,58.565,57.222,71.794,76.562,68.939
60.518,57.863,62.075,60.793,58.565,57.222,71.794,76.562,68.939
60.305,57.772,61.983,60.701,58.535,57.222,71.794,76.562,68.939
60.457,57.863,62.014,60.732,58.596,57.192,71.794,76.562,68.939
60.305,57.802,62.014,60.701,58.473,57.192,71.794,76.562,68.939
60.335,57.833,61.983,60.701,58.412,57.131,71.794,76.562,68.939
60.457,57.894,62.075,60.793,58.565,57.222,71.794,76.562,68.939
60.274,57.772,62.075,60.732,58.596,57.253,71.794,76.562,68.939
60.396,57.833,61.983,60.793,58.596,57.283,71.794,76.562,68.939
60.305,57.741,61.983,60.671,58.473,57.192,71.794,76.562,68.939
60.427,57.833,62.044,60.793,58.535,57.192,71.794,76.562,68.939
60.396,57.802,62.014,60.701,58.535,57.192,71.794,76.562,68.939
60.335,57.802,62.044,60.762,58.565,57.253,71.794,76.562,68.939
60.396,57.833,62.014,60.762,58.626,57.283,71.794,76.562,68.939
60.366,57.833,62.014,60.762,58.504,57.192,71.794,76.562,68.939
60.366,57.802,62.014,60.793,58.473,57.192,71.794,76.562,68.939
60.457,57.894,62.075,60.732,58.565,57.222,71.794,76.562,68.939
60.366,57.833,62.014,60.701,58.535,57.161,71.794,76.562,68.939
60.366,57.863,62.044,60.732,58.535,57.161,71.794,76.562,68.939
60.427,57.863,62.075,60.762,58.535,57.253,71.794,76.562,68.939
60.335,57.802,62.014,60.701,58.565,57.253,71.794,76.562,68.939
60.366,57.802,62.075,60.732,58.565,57.253,71.794,76.562,68.939
60.396,57.833,62.014,60.793,58.535,57.222,71.794,76.562,68.939
60.518,57.894,62.105,60.732,58.596,57.314,71.794,76.562,68.939
60.396,57.863,62.044,60.793,58.504,57.161,71.794,76.562,68.939
60.518,57.955,62.075,60.732,58.473,57.161,71.794,76.562,68.939
60.335,57.802,62.014,60.732,58.504,57.192,71.794,76.562,68.939
60.366,57.833,62.075,60.793,58.718,57.344,71.794,76.562,68.939
60.396,57.802,62.044,60.732,58.412,57.131,71.794,76.562,68.939
60.396,57.833,62.044,60.732,58.535,57.222,71.794,76.562,68.939
60.305,57.802,62.105,60.762,58.596,57.222,71.794,76.562,68.939
60.396,57.833,62.075,60.793,58.443,57.192,71.794,76.562,68.939
60.396,57.833,62.044,60.732,58.535,57.161,71.794,76.562,68.939
60.457,57.894,62.044,60.732,58.626,57.192,71.794,76.562,68.939
60.366,57.894,62.075,60.762,58.565,57.192,71.794,76.562,68.939
60.335,57.802,62.075,60.732,58.504,57.161,71.794,76.562,68.939
60.427,57.894,62.044,60.762,58.657,57.253,71.794,76.562,68.939
60.335,57.863,62.014,60.732,58.565,57.222,71.794,76.562,68.939
60.366,57.802,62.014,60.732,58.626,57.192,71.794,76.562,68.939
60.152,57.68,61.922,60.64,58.504,57.192,71.794,76.562,68.939
60.366,57.833,62.044,60.762,58.504,57.222,71.794,76.562,68.939
60.366,57.863,62.044,60.762,58.473,57.161,71.794,76.562,68.939
60.305,57.802,62.044,60.732,58.412,57.07,71.794,76.562,68.939
60.396,57.833,62.044,60.732,58.504,57.192,71.794,76.562,68.939
60.396,57.863,62.014,60.732,58.473,57.192,71.794,76.562,68.939
60.488,57.894,62.105,60.793,58.535,57.253,71.794,76.562,68.939
60.305,57.802,62.014,60.762,58.535,57.222,71.794,76.562,68.939
60.427,57.863,62.044,60.762,58.535,57.222,71.794,76.562,68.939
60.366,57.833,62.044,60.701,58.504,57.222,71.794,76.562,68.939
60.427,57.833,62.044,60.762,58.443,57.131,71.794,76.562,68.939
60.427,57.833,62.075,60.701,58.473,57.161,71.794,76.562,68.939
60.335,57.802,61.983,60.701,58.504,57.161,71.794,76.562,68.939
60.335,57.833,62.014,60.701,58.473,57.192,71.794,76.562,68.939
60.427,57.924,62.014,60.579,58.504,57.222,71.794,76.562,68.939
60.488,57.863,61.953,60.61,58.473,57.161,71.794,76.562,68.939
60.335,57.863,61.983,60.671,58.473,57.161,71.75,76.562,68.939
60.396,57.802,61.983,60.762,58.473,57.161,71.75,76.562,68.939
60.366,57.894,62.044,60.854,58.443,57.07,71.75,76.562,68.939
60.335,57.772,61.983,60.854,58.473,57.192,71.75,76.562,68.939
60.396,57.833,62.014,60.793,58.535,57.222,71.75,76.562,68.939
60.427,57.894,62.075,60.793,58.565,57.283,71.75,76.562,68.939
60.335,57.802,62.014,60.732,58.504,57.253,71.75,76.562,68.939
60.427,57.863,62.044,60.732,58.382,57.161,71.75,76.562,68.939
60.488,57.924,62.075,60.732,58.473,57.192,71.75,76.562,68.939
60.335,57.772,61.983,60.732,58.504,57.222,71.75,76.562,68.939
60.427,57.894,62.075,60.732,58.504,57.131,71.75,76.562,68.939
60.396,57.833,62.044,60.762,58.535,57.283,71.75,76.562,68.939
60.396,57.833,62.044,60.762,58.412,57.161,71.75,76.562,68.939
60.366,57.772,62.014,60.732,58.443,57.161,71.75,76.562,68.939
60.518,57.894,62.075,60.762,58.473,57.192,71.75,76.562,68.939
60.396,57.894,62.044,60.793,58.504,57.253,71.75,76.562,68.939
60.427,57.894,62.075,60.793,58.504,57.222,71.75,76.562,68.939
60.335,57.802,62.044,60.793,58.535,57.222,71.75,76.562,68.939
60.396,57.833,62.014,60.793,58.443,57.192,71.75,76.562,68.939
60.396,57.772,62.014,60.732,58.504,57.161,71.75,76.562,68.939
60.213,57.649,61.983,60.762,58.443,57.192,71.75,76.562,68.939
60.549,57.985,62.044,60.793,58.565,57.222,71.75,76.562,68.939
60.244,57.68,62.014,60.793,58.473,57.192,71.75,76.562,68.939
60.427,57.894,62.075,60.793,58.412,57.161,71.75,76.562,68.939
60.549,57.955,62.044,60.854,58.504,57.222,71.75,76.562,68.939
60.305,57.802,62.044,60.762,58.535,57.222,71.75,76.562,68.939
60.427,57.863,62.044,60.762,58.504,57.192,71.75,76.562,68.939
60.457,57.924,62.044,60.823,58.535,57.253,71.75,76.562,68.939
60.396,57.894,62.044,60.823,58.504,57.192,71.75,76.562,68.939
60.427,57.894,62.044,60.762,58.504,57.222,71.75,76.562,68.939
60.549,57.894,62.044,60.732,58.382,57.131,71.75,76.562,68.939
60.427,57.894,62.105,60.793,58.504,57.192,71.75,76.562,68.939
60.549,57.924,62.136,60.854,58.351,57.161,71.75,76.562,68.939
60.213,57.711,61.983,60.732,58.443,57.161,71.75,76.562,68.939
60.457,57.863,62.044,60.762,58.473,57.192,71.75,76.562,68.939
60.488,57.924,62.075,60.823,58.412,57.1,71.75,76.562,68.939
60.488,57.894,62.075,60.823,58.504,57.222,71.75,76.562,68.939
60.457,57.894,62.044,60.732,58.443,57.222,71.75,76.562,68.939
60.427,57.833,62.105,60.884,58.504,57.222,71.75,76.562,68.939
60.427,57.894,62.044,60.762,58.535,57.222,71.75,76.562,68.939
60.457,57.894,62.105,60.854,58.443,57.161,71.75,76.517,68.919
60.396,57.863,62.075,60.762,58.504,57.253,71.75,76.517,68.919
60.457,57.863,62.105,60.793,58.504,57.222,71.75,76.517,68.919
60.396,57.863,62.044,60.793,58.412,57.192,71.75,76.517,68.919
60.518,57.924,62.105,60.854,58.473,57.222,71.75,76.517,68.919
60.427,57.833,62.044,60.762,58.351,57.131,71.75,76.517,68.919
60.427,57.833,62.075,60.762,58.382,57.161,71.75,76.517,68.919
60.457,57.863,62.075,60.732,58.473,57.192,71.75,76.517,68.919
60.488,57.924,62.044,60.732,58.473,57.253,71.75,76.517,68.919
60.427,57.924,62.075,60.793,58.504,57.222,71.75,76.517,68.919
60.396,57.833,62.075,60.762,58.443,57.131,71.75,76.517,68.919
60.396,57.863,62.044,60.793,58.382,57.161,71.75,76.517,68.919
60.427,57.833,61.983,60.762,58.535,57.222,71.75,76.517,68.919
60.427,57.863,62.014,60.823,58.504,57.222,71.75,76.517,68.919
60.335,57.802,61.983,60.762,58.473,57.222,71.75,76.517,68.919
60.427,57.833,62.075,60.823,58.535,57.253,71.75,76.517,68.919
60.427,57.802,62.075,60.762,58.382,57.131,71.75,76.517,68.919
60.396,57.802,62.014,60.732,58.504,57.222,71.75,76.517,68.919
60.457,57.863,62.044,60.793,58.382,57.161,71.75,76.517,68.919
60.396,57.833,62.014,60.823,58.504,57.222,71.75,76.517,68.919
60.396,57.833,62.044,60.793,58.565,57.253,71.75,76.517,68.919
60.427,57.894,62.044,60.732,58.473,57.222,71.75,76.517,68.919
60.457,57.833,62.044,60.823,58.535,57.253,71.75,76.517,68.919
60.457,57.833,62.044,60.823,58.443,57.161,71.75,76.517,68.919
60.488,57.833,62.044,60.762,58.504,57.253,71.75,76.517,68.919
60.488,57.833,62.044,60.793,58.504,57.283,71.75,76.517,68.919
60.457,57.863,62.044,60.793,58.412,57.161,71.75,76.517,68.919
60.488,57.833,62.044,60.793,58.382,57.192,71.75,76.517,68.919
60.457,57.894,62.075,60.823,58.443,57.161,71.75,76.517,68.919
60.488,57.833,62.044,60.823,58.412,57.131,71.75,76.517,68.919
60.457,57.833,62.075,60.823,58.535,57.253,71.75,76.517,68.919
