,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
5000,200.16482,-0.26286,-97.71010,-0.89489,229.96954,-120.53342,Q3,0.78091,-0.09718,9.52442,3.17744,True,951.96903
5001,199.54172,0.40905,-100.63736,-0.88896,229.33501,-120.01444,Q4,-0.46364,-2.63335,12.39610,-1.47704,True,947.38992
5002,201.00071,0.14955,-98.64403,-0.88369,230.76183,-120.01524,Q2,0.89600,-1.21155,11.46621,4.65774,True,955.68154
5003,199.79682,2.10760,-99.21798,-0.88805,229.58575,-118.51331,Q4,-1.34531,-0.37638,9.08931,0.93612,True,949.37509
5004,199.12434,0.41191,-103.65685,-0.88177,228.92722,-118.46355,Q4,2.15090,1.89268,11.01687,-0.31611,True,943.79329
5005,198.00918,-0.64766,-95.54385,-0.88063,227.79062,-118.85182,Boom!,-0.50611,-1.66406,13.19145,-1.41955,True,942.27396
5006,201.73350,0.46007,-102.07512,-0.89775,231.53335,-123.09254,Q2,-2.67648,-2.64812,13.78752,-2.00034,True,957.62992
5007,198.54573,0.37327,-101.31436,-0.88147,228.32524,-121.20800,Boom!,-0.15081,1.70975,15.11139,-2.09890,True,942.07145
5008,200.81225,-0.47230,-101.33503,-0.87560,230.59562,-120.38252,Q3,-0.01124,1.09467,10.83927,0.39170,True,953.39374
5009,201.01900,0.52745,-98.74339,-0.90041,230.82095,-119.17608,Q2,0.52077,0.33972,5.70262,2.83868,True,955.72328
5010,199.97496,-0.77200,-97.56233,-0.88398,229.76909,-121.48381,Q4,0.92840,-1.42364,11.35671,-1.97473,True,951.09366
5011,202.45417,-0.40839,-98.16120,-0.88172,232.23823,-122.39729,Q1,0.78048,-1.27981,12.57337,-3.31058,True,963.19027
5012,201.41167,0.47257,-104.28432,-0.88974,231.18389,-119.26329,Q2,0.33602,0.05126,9.17397,0.82785,True,954.91619
5013,201.38359,0.31107,-101.45125,-0.88236,231.17175,-121.33822,Q2,1.39900,0.75675,14.44379,4.37976,True,956.19231
5014,201.18738,-0.28364,-97.98549,-0.88547,230.98133,-120.22749,Q2,0.05336,-0.57299,8.85130,2.58745,True,956.94417
5015,200.59047,0.69166,-100.77261,-0.88357,230.37424,-121.77725,Q3,-1.00411,-0.03796,7.70179,-1.37012,True,952.56607
5016,202.07543,0.95651,-99.56385,-0.87923,231.85718,-124.41866,Q1,0.81738,-1.40923,13.10069,6.62597,True,960.59522
5017,199.13619,0.49330,-96.13714,-0.88583,228.93224,-119.67628,Q4,0.77539,-0.62640,11.39103,-0.62018,True,947.61236
5018,199.77167,0.17175,-99.38360,-0.89850,229.57541,-122.29385,Q4,0.86616,0.05440,10.11354,-0.22195,True,949.16655
5019,199.04821,-0.52409,-99.38906,-0.89255,228.85124,-121.72081,Q4,2.31627,0.08694,12.77928,0.83843,True,945.54650
5020,201.13917,-0.82217,-99.13163,-0.90340,230.96004,-120.76866,Q2,-0.08407,0.76612,10.80032,-0.00316,True,956.13003
5021,198.39428,-0.43386,-100.23758,-0.89058,228.18467,-119.01455,Boom!,-0.57037,0.18996,6.43332,9.24614,True,941.85263
5022,201.83331,0.58297,-101.65872,-0.88433,231.62235,-121.57489,Q2,1.28903,1.35425,11.04669,0.30092,True,958.33720
5023,200.31493,1.03520,-101.40776,-0.89219,230.09042,-121.69785,Q3,0.17935,-0.26349,10.04413,-3.38836,True,950.87078
5024,200.31606,0.81746,-99.03628,-0.87297,230.09920,-121.05998,Q3,1.32674,-0.33777,11.27923,0.84596,True,952.06215
5025,201.11138,1.42236,-104.69490,-0.88979,230.87786,-121.17592,Q2,-0.27175,0.14828,9.88552,-1.21392,True,953.20945
5026,199.95237,0.40333,-101.53741,-0.89582,229.74667,-117.95690,Q4,0.92772,-0.19571,16.15318,-2.79233,True,948.99316
5027,199.34873,0.15554,-96.61701,-0.89871,229.15044,-120.06454,Q4,0.26749,0.20652,7.49618,4.59945,True,948.43512
5028,198.90734,0.12134,-96.33353,-0.88190,228.69104,-118.26666,Boom!,-0.46187,0.26917,7.70805,1.21765,True,946.36994
5029,199.79448,-0.48207,-102.97723,-0.88963,229.61415,-121.37807,Q4,-3.16594,2.42930,14.68548,-1.67035,True,947.48379
