,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,Antrophic,199.84675,-0.22935,-94.57266,-0.90297,229.65733,-119.73784,Q4,0.12045,0.50670,13.31960,2.86055,True,951.94743
1,OpenAI,199.76663,0.57961,-98.69548,-0.89087,229.58771,-117.92856,Q4,-0.28505,0.16832,14.52734,-0.51453,True,949.48540
2,Antrophic,200.40804,-0.03834,-97.64719,-0.89971,230.20797,-121.71234,Q3,-0.13753,0.71530,9.90651,0.35612,True,953.21660
3,Antrophic,201.38523,0.51942,-105.16820,-0.89226,231.15781,-120.69422,Q2,0.03872,-0.37550,11.10684,1.32156,True,954.34203
4,OpenAI,199.60130,-0.76663,-94.42670,-0.88284,229.39822,-122.24543,Q4,0.46721,2.14220,9.72683,-4.96100,True,950.79316
5,OpenAI,200.17643,-0.16174,-101.49331,-0.87934,229.95851,-121.12107,Q3,1.58624,0.24772,18.63075,-1.14392,True,950.13550
6,Antrophic,201.66892,0.70144,-96.48378,-0.89885,231.46610,-121.74501,Q2,1.66844,0.32603,8.02050,4.45091,True,960.10269
7,OpenAI,200.44108,-0.20788,-98.39821,-0.88929,230.24810,-123.38075,Q3,-2.62285,1.04582,9.91782,-1.67245,True,953.00627
8,OpenAI,199.24723,-0.02325,-101.60303,-0.88375,229.04195,-123.66948,Q4,0.98674,1.33937,8.47041,-1.04368,True,945.43466
9,Antrophic,200.38491,-0.69794,-100.84816,-0.89702,230.21329,-121.31900,Q3,-1.33569,0.40085,11.30085,2.19003,True,951.50048
10,Antrophic,200.48323,0.05784,-101.70481,-0.89584,230.27201,-120.44166,Q3,-0.21559,-0.00246,7.55670,-4.85019,True,951.56373
11,Mistral,199.55959,-0.34113,-101.13040,-0.88078,229.34428,-120.84956,Q4,-1.81472,-1.21748,7.89803,5.58758,True,947.23277
12,OpenAI,199.67466,0.98984,-98.43058,-0.89388,229.50304,-119.50852,Q4,2.24048,-2.35515,8.90594,-5.77431,True,949.15803
13,Antrophic,200.39640,-1.16920,-106.44752,-0.89816,230.19870,-122.94734,Q3,-0.71857,0.73902,10.44551,-3.39992,True,948.75825
14,Antrophic,200.61989,1.31159,-95.22354,-0.88995,230.42019,-119.66419,Q3,-0.10574,-0.63537,8.28966,2.71089,True,955.48769
15,OpenAI,200.81557,0.57820,-101.77557,-0.89322,230.63534,-121.11404,Q3,-0.45347,1.60040,12.00807,-1.39047,True,953.19004
16,Mistral,200.13445,0.35629,-94.62500,-0.89297,229.91759,-119.07340,Q3,1.83441,0.71756,7.36113,-3.44646,True,953.35974
17,Antrophic,199.17878,-0.37646,-103.34760,-0.88490,228.95241,-121.03796,Q4,-0.66634,-0.11529,10.61043,9.57376,True,944.22010
18,OpenAI,199.98337,-0.68960,-99.52737,-0.88335,229.78376,-120.64339,Q4,1.52559,-0.07393,8.82222,-3.18171,True,950.15317
19,OpenAI,198.28845,0.97786,-99.42723,-0.88198,228.07235,-119.70683,Boom!,0.71630,-2.42495,17.81146,-0.50324,True,941.72864
20,Mistral,199.55558,-0.28689,-95.79740,-0.88178,229.34547,-119.90751,Q4,-0.76781,0.16125,9.87328,-0.18710,True,949.87920
21,OpenAI,199.96316,0.10890,-105.29368,-0.88586,229.76264,-120.16133,Q4,-0.28120,-0.46642,6.59994,-5.51288,True,947.16897
22,OpenAI,200.85264,0.47613,-101.92536,-0.88728,230.65654,-121.58322,Q3,0.31720,-1.25592,11.01313,-1.00385,True,953.30054
23,Mistral,200.38672,0.42528,-100.57676,-0.89043,230.18558,-121.62176,Q3,-2.37161,-1.06202,10.28629,0.05796,True,951.64524
24,OpenAI,200.31806,-0.20489,-95.34576,-0.88738,230.12192,-118.97040,Q3,1.81173,-0.23841,14.27962,-1.39191,True,953.91741
25,Antrophic,199.38944,0.15065,-98.20900,-0.88632,229.16808,-116.03481,Q4,0.11238,0.00902,9.17321,5.19355,True,947.84271
26,Mistral,199.84003,0.46601,-103.13953,-0.87818,229.62410,-122.68824,Q4,-1.02307,0.20159,5.35461,1.52173,True,947.63040
27,Antrophic,201.50764,0.16790,-102.51516,-0.87878,231.27135,-119.63358,Q2,0.20321,-0.18169,9.78924,-2.91414,True,956.28063
28,Mistral,200.19894,0.73418,-104.45255,-0.87695,229.98334,-119.03350,Q3,-0.09609,-1.14539,11.11972,0.70139,True,948.76842
29,Mistral,201.44820,-0.76071,-94.08604,-0.89514,231.24941,-120.88226,Q2,-1.04655,-0.01213,16.78988,2.61937,True,960.19798
30,OpenAI,200.31209,0.10058,-106.52014,-0.88737,230.12630,-120.00069,Q3,1.04142,-2.03714,9.33436,-3.57003,True,948.30040
31,OpenAI,200.08138,-0.01556,-105.98749,-0.87992,229.86073,-120.81190,Q3,2.64339,-0.61806,7.60089,1.15597,True,947.41316
